run.thisRepN,run.thisTrialN,run.thisN,run.thisIndex,QA_block.thisRepN,QA_block.thisTrialN,QA_block.thisN,QA_block.thisIndex,QA_trial.thisRepN,QA_trial.thisTrialN,QA_trial.thisN,QA_trial.thisIndex,post_trial.thisRepN,post_trial.thisTrialN,post_trial.thisN,post_trial.thisIndex,participant,session,First language,German level,Full_screen,Instruction,Intro,Artifact,Cali_pre,Fade_in_out,Artifact_within,Resting_State,QA,Pause,Cali_post,End,Breakpoint_Cali_pre_trial,Breakpoint_Run,Breakpoint_RS_block,Breakpoint_QA_block,Breakpoint_QA_trial,Breakpoint_Cali_post_trial,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
0,0,0,0,1,0,1,0,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
0,0,0,0,,,,,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
1,0,1,0,0,0,0,0,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
1,0,1,0,1,0,1,0,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
1,0,1,0,,,,,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
2,0,2,0,0,0,0,0,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
2,0,2,0,1,0,1,0,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
2,0,2,0,,,,,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
3,0,3,0,0,0,0,0,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
3,0,3,0,1,0,1,0,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
3,0,3,0,,,,,,,,,,,,,00,00,,A1,False,False,False,False,False,False,False,False,False,False,True,True,No,No,No,No,No,8,2020_Jul_02_1249,nibs_stage_1,3.2.3,60.03157368935554,
